230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_L1 a (speed [cm/min]) 0.03 b 1.759691425996059 chi2, rank, singular values, rcond (array([0.01786992]), 2, array([1.38460642, 0.28786292]), 1.6631140908884845e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_L2 a (speed [cm/min]) 0.14 b 2.4066122168628183 chi2, rank, singular values, rcond (array([0.00293867]), 2, array([1.37955867, 0.31115569]), 1.3922196728799463e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_L3 a (speed [cm/min]) 0.01 b 2.80293848775545 chi2, rank, singular values, rcond (array([0.00114434]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_L4 a (speed [cm/min]) 0.0 b 2.4971898690125007 chi2, rank, singular values, rcond (array([0.00101292]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_L5 a (speed [cm/min]) 0.04 b 2.0810439784576875 chi2, rank, singular values, rcond (array([0.00545522]), 2, array([1.38456  , 0.2880861]), 1.8429702208777599e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_R1 a (speed [cm/min]) -0.27 b 2.8574321191350975 chi2, rank, singular values, rcond (array([0.00946346]), 2, array([1.38478242, 0.28701505]), 1.8141044222375058e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_R2 a (speed [cm/min]) -0.18 b 2.391682842149476 chi2, rank, singular values, rcond (array([0.00844612]), 2, array([1.38486416, 0.28662043]), 1.7918999617450027e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_R3 a (speed [cm/min]) -0.21 b 2.2901963826673315 chi2, rank, singular values, rcond (array([0.00880825]), 2, array([1.38470803, 0.28737374]), 1.8562928971732617e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_R4 a (speed [cm/min]) -0.11 b 2.7781598185205003 chi2, rank, singular values, rcond (array([0.01318857]), 2, array([1.3847304 , 0.28726594]), 1.8629542353210127e-13)
230506_4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg0_R5 a (speed [cm/min]) -0.04 b 2.335838166151254 chi2, rank, singular values, rcond (array([0.00682685]), 2, array([1.38473142, 0.28726104]), 1.8562928971732617e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_L1 a (speed [cm/min]) 0.05 b 2.5096028671192414 chi2, rank, singular values, rcond (array([0.13589893]), 2, array([1.38483636, 0.28675468]), 1.20570220474292e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_L2 a (speed [cm/min]) 0.02 b 2.5965090636649335 chi2, rank, singular values, rcond (array([0.00275289]), 2, array([1.38529793, 0.28451651]), 1.1968204205459188e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_L3 a (speed [cm/min]) 0.08 b 2.9775002397760186 chi2, rank, singular values, rcond (array([0.01674808]), 2, array([1.38478192, 0.2870175 ]), 1.0413891970983968e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_L4 a (speed [cm/min]) 0.16 b 3.058509430536096 chi2, rank, singular values, rcond (array([0.01587857]), 2, array([1.3849777 , 0.28607127]), 1.1968204205459188e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_L5 a (speed [cm/min]) 0.49 b 2.6712773080995538 chi2, rank, singular values, rcond (array([0.00944173]), 2, array([1.38509469, 0.28550431]), 1.2034817586936697e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_R1 a (speed [cm/min]) -0.19 b 2.81554263959722 chi2, rank, singular values, rcond (array([0.00371398]), 2, array([1.38517023, 0.28513755]), 1.192379528447418e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_R2 a (speed [cm/min]) -0.1 b 2.9535379390532746 chi2, rank, singular values, rcond (array([0.00269038]), 2, array([1.38511191, 0.28542072]), 1.1968204205459188e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_R3 a (speed [cm/min]) -0.09 b 2.7599446994491217 chi2, rank, singular values, rcond (array([0.00674846]), 2, array([1.38505131, 0.28571466]), 1.1968204205459188e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_R4 a (speed [cm/min]) -0.19 b 3.0336282168379074 chi2, rank, singular values, rcond (array([0.00483596]), 2, array([1.38796931, 0.27118481]), 1.1435297153639112e-13)
230507_0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg5_R5 a (speed [cm/min]) -0.55 b 2.5893476628582692 chi2, rank, singular values, rcond (array([0.07080521]), 2, array([1.3855651 , 0.28321255]), 1.199040866595169e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_L1 a (speed [cm/min]) 0.47 b 1.9471568738625364 chi2, rank, singular values, rcond (array([0.1956231]), 2, array([1.38476352, 0.28710623]), 1.2589929099249275e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_L2 a (speed [cm/min]) 1.06 b 3.6910876389945337 chi2, rank, singular values, rcond (array([0.44188229]), 2, array([1.38494711, 0.28621933]), 1.2678746941219288e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_L3 a (speed [cm/min]) 0.17 b 2.6483919425926365 chi2, rank, singular values, rcond (array([0.31983897]), 2, array([1.38444063, 0.2886592 ]), 1.254552017826427e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_L4 a (speed [cm/min]) 0.7 b 2.542065583834118 chi2, rank, singular values, rcond (array([0.33904179]), 2, array([1.38493876, 0.28625971]), 1.247890679678676e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_L5 a (speed [cm/min]) 1.18 b 2.9950016947128084 chi2, rank, singular values, rcond (array([0.26809135]), 2, array([1.38454095, 0.28817765]), 1.2501111257279263e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_R1 a (speed [cm/min]) 0.15 b 2.968422382030155 chi2, rank, singular values, rcond (array([0.98412095]), 2, array([1.38458764, 0.28795323]), 1.2434497875801753e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_R2 a (speed [cm/min]) 1.1 b 2.046316713602642 chi2, rank, singular values, rcond (array([0.43932921]), 2, array([1.38472463, 0.28729376]), 1.2434497875801753e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_R3 a (speed [cm/min]) 1.64 b 2.7262761876677044 chi2, rank, singular values, rcond (array([0.81580874]), 2, array([1.38453001, 0.2882302 ]), 1.234568003383174e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_R4 a (speed [cm/min]) -0.05 b 2.2199299729105966 chi2, rank, singular values, rcond (array([0.30041093]), 2, array([1.38475095, 0.28716687]), 1.2589929099249275e-13)
230507_0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg0_R5 a (speed [cm/min]) 1.41 b 2.578929316212082 chi2, rank, singular values, rcond (array([0.14812733]), 2, array([1.38464389, 0.28768263]), 1.2301271112846734e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_L1 a (speed [cm/min]) 0.0 b 2.1145501021367346 chi2, rank, singular values, rcond (array([0.00230518]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_L2 a (speed [cm/min]) -0.04 b 2.270695164067936 chi2, rank, singular values, rcond (array([0.00917746]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_L3 a (speed [cm/min]) 0.02 b 2.4523257227421427 chi2, rank, singular values, rcond (array([0.00261344]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_L4 a (speed [cm/min]) -0.04 b 2.687841781180721 chi2, rank, singular values, rcond (array([0.02423914]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_L5 a (speed [cm/min]) 0.01 b 2.4520273808702786 chi2, rank, singular values, rcond (array([0.00305124]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_R1 a (speed [cm/min]) -0.19 b 2.4123931784817647 chi2, rank, singular values, rcond (array([0.01095486]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_R2 a (speed [cm/min]) -0.15 b 2.4532472715210325 chi2, rank, singular values, rcond (array([0.02299666]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_R3 a (speed [cm/min]) -0.23 b 2.921520555558835 chi2, rank, singular values, rcond (array([0.00715445]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_R4 a (speed [cm/min]) -0.02 b 2.3808332612561283 chi2, rank, singular values, rcond (array([0.05753091]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg5_R5 a (speed [cm/min]) -0.14 b 2.407179037665382 chi2, rank, singular values, rcond (array([0.01593674]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_1700mHz_06mm_0%2_50um_1mm_2000mW_1_037deg5_L1 a (speed [cm/min]) 0.0 b 2.048690583084207 chi2, rank, singular values, rcond (array([0.00010487]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_1700mHz_06mm_0%2_50um_1mm_2000mW_1_037deg5_L2 a (speed [cm/min]) 0.0 b 2.3997945611765346 chi2, rank, singular values, rcond (array([0.00059368]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_1700mHz_06mm_0%2_50um_1mm_2000mW_1_037deg5_L3 a (speed [cm/min]) 0.06 b 2.0769287767431246 chi2, rank, singular values, rcond (array([0.00709027]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230507_1700mHz_06mm_0%2_50um_1mm_2000mW_1_037deg5_L4 a (speed [cm/min]) 0.09 b 2.45129688213626 chi2, rank, singular values, rcond (array([0.00172551]), 2, array([1.38454722, 0.28814754]), 1.8496315590255108e-13)
